record_id,recording_taken,botanist_id,plant_id,last_watered,soil_moisture,temperature
1,2023-05-11 10:34:42,1,1,2023-05-10 14:03:04,28.46230192449177,13.180546348033124
2,2023-05-11 10:34:52,2,2,2023-05-10 13:54:32,26.75162163287401,12.03777821597442
3,2023-05-11 10:35:06,1,3,2023-05-10 14:10:54,33.16441476615104,9.14724445966486
4,2023-05-11 10:35:07,3,4,2023-05-10 14:50:16,31.7086380585975,10.011236069134217
5,2023-05-11 10:35:20,1,5,2023-05-10 13:16:25,23.722456710735585,11.33636800498016
6,2023-05-11 10:35:21,1,6,2023-05-10 14:56:18,33.07119451655629,11.200091613366876
7,2023-05-11 10:35:24,3,7,2023-05-10 13:35:35,29.94486544856349,10.975281508801174
8,2023-05-11 10:35:35,3,8,2023-05-10 13:23:01,24.10080360934394,11.542918261079478
9,2023-05-11 10:35:36,2,9,2023-05-10 14:12:43,29.10770746570049,10.607456167493192
10,2023-05-11 10:35:37,2,10,2023-05-10 13:04:57,25.322590463837983,13.957422754212908
11,2023-05-11 10:35:39,2,11,2023-05-10 13:37:24,29.31120954868913,9.475657870410156
12,2023-05-11 10:35:46,3,12,2023-05-10 13:13:51,24.44460327603143,12.823035887818635
13,2023-05-11 10:35:48,3,13,2023-05-10 13:36:47,30.7590778496792,9.547626872783145
14,2023-05-11 10:35:52,2,14,2023-05-10 14:17:54,31.25277203480715,13.157279830527408
15,2023-05-11 10:35:57,2,15,2023-05-10 13:45:31,26.4450019245098,9.991872187418998
16,2023-05-11 10:35:59,2,16,2023-05-10 13:50:40,-6.741968977142861,13.29797583957438
17,2023-05-11 10:36:01,1,17,2023-05-10 14:02:40,28.22318717458778,9.79163590203538
18,2023-05-11 10:36:02,1,18,2023-05-10 14:29:39,29.72433890291262,9.053968247556968
19,2023-05-11 10:36:08,2,19,2023-05-10 13:24:30,28.892699397017708,13.868933584234098
20,2023-05-11 10:36:09,1,20,2023-05-10 14:49:34,30.4054956744868,8.619444068150148
21,2023-05-11 10:36:10,2,21,2023-05-10 13:03:26,24.401404474658875,9.559669375441208
22,2023-05-11 10:36:11,1,22,2023-05-10 14:44:00,28.824765423880592,13.069029293295296
23,2023-05-11 10:36:12,2,23,2023-05-10 13:58:41,30.017698076343063,11.599750721502868
24,2023-05-11 10:36:13,1,24,2023-05-10 14:23:18,33.04885545354186,14.161764088665732
25,2023-05-11 10:36:14,1,25,2023-05-10 14:58:20,32.62649843660628,10.76826718814803
26,2023-05-11 10:36:16,1,26,2023-05-10 14:37:02,28.117244017982017,12.41818364972869
27,2023-05-11 10:36:17,2,27,2023-05-10 13:11:24,27.88246138727783,10.856065032856874
28,2023-05-11 10:36:18,1,28,2023-05-10 13:55:19,31.43687314364641,14.520661301716329
29,2023-05-11 10:36:19,2,29,2023-05-10 13:05:43,25.54184085576924,13.372374973014956
30,2023-05-11 10:36:21,2,30,2023-05-10 14:29:54,28.044399123260437,10.616321315986124
31,2023-05-11 10:36:22,1,31,2023-05-10 14:05:58,28.325986461165044,13.564714849609835
32,2023-05-11 10:36:23,2,32,2023-05-10 13:44:15,26.77566530994152,13.787694684336447
33,2023-05-11 10:36:24,1,33,2023-05-10 13:32:46,25.15494468904245,12.947666052010003
34,2023-05-11 10:36:24,2,34,2023-05-10 14:09:55,30.83649655827068,12.32530870259932
35,2023-05-11 10:36:25,3,35,2023-05-10 14:23:43,30.701994462857144,11.096949353550457
36,2023-05-11 10:36:26,2,36,2023-05-10 13:46:06,30.213193859534883,11.0812684886112
37,2023-05-11 10:36:27,1,37,2023-05-10 14:18:23,27.27887739402985,13.41310997667437
38,2023-05-11 10:36:28,3,38,2023-05-10 14:05:38,31.74603114879852,9.105332123820297
39,2023-05-11 10:36:29,1,39,2023-05-10 13:45:13,29.9655037080224,11.776393323064385
40,2023-05-11 10:36:32,1,40,2023-05-10 14:49:43,31.265178916988415,9.873307866933986
41,2023-05-11 10:36:33,2,41,2023-05-10 13:32:40,27.709008376549093,9.585589078934248
42,2023-05-11 10:36:34,2,42,2023-05-10 14:04:23,28.499868560928437,9.02557407092464
43,2023-05-11 10:36:35,3,43,2023-05-10 14:12:39,32.378861428176805,13.335901883670152
44,2023-05-11 10:36:36,3,44,2023-05-10 13:30:18,-8.540648355714282,13.351977072189612
45,2023-05-11 10:36:37,1,45,2023-05-10 14:31:09,29.36681445410156,14.901893581459571
46,2023-05-11 10:36:38,3,46,2023-05-10 14:02:15,28.02398157725948,9.410509249177064
47,2023-05-11 10:35:41,1,1,2023-05-10 14:03:04,28.40500598451113,13.182646623806924
48,2023-05-11 10:35:47,2,2,2023-05-10 13:54:32,26.69710740748032,12.038756090943732
49,2023-05-11 10:35:50,1,3,2023-05-10 14:10:54,33.12414027297544,9.149329272201328
50,2023-05-11 10:35:55,3,4,2023-05-10 14:50:16,31.66240371181556,10.013013087727092
51,2023-05-11 10:35:56,1,5,2023-05-10 13:16:25,23.685927816103373,11.337164382836246
52,2023-05-11 10:36:01,1,6,2023-05-10 14:56:18,33.033337766319775,11.20138226574763
53,2023-05-11 10:36:02,3,7,2023-05-10 13:35:35,29.909266723818348,10.976140988385994
54,2023-05-11 10:36:04,3,8,2023-05-10 13:23:01,24.07233827435388,11.5441681054667
55,2023-05-11 10:36:05,2,9,2023-05-10 14:12:43,29.08003620483092,10.608111203168969
56,2023-05-11 10:36:06,2,10,2023-05-10 13:04:57,25.294963768563164,13.957977754770369
57,2023-05-11 10:36:07,2,11,2023-05-10 13:37:24,29.28554248782773,9.476476996572549
58,2023-05-11 10:36:07,3,12,2023-05-10 13:13:51,24.423426978389003,12.82407972018888
59,2023-05-11 10:36:09,2,14,2023-05-10 14:17:54,31.23696859172153,13.158105013630763
60,2023-05-11 10:36:10,2,15,2023-05-10 13:45:31,26.432221191176467,9.992219360294936
61,2023-05-11 10:36:11,2,16,2023-05-10 13:50:40,-6.759069235714293,13.29830207858462
62,2023-05-11 10:36:12,1,17,2023-05-10 14:02:40,28.21316043937924,9.792054938296287
63,2023-05-11 10:36:13,1,18,2023-05-10 14:29:39,29.71439856407767,9.05451029653896
64,2023-05-11 10:36:14,2,19,2023-05-10 13:24:30,28.887172717614163,13.86904643702767
65,2023-05-11 10:36:15,1,20,2023-05-10 14:49:34,30.398894781036176,8.619701605389944
66,2023-05-11 10:36:17,3,47,2023-05-10 14:23:59,30.922252405508075,11.033964145394108
67,2023-05-11 10:36:19,2,21,2023-05-10 13:03:26,24.39201119493177,9.559912936653287
68,2023-05-11 10:36:21,1,22,2023-05-10 14:44:00,28.814130794029865,13.069274128155328
69,2023-05-11 10:36:23,2,23,2023-05-10 13:58:41,30.00712781998115,11.599989586395548
70,2023-05-11 10:36:24,1,24,2023-05-10 14:23:18,33.03874082796688,14.161994271434104
71,2023-05-11 10:36:25,1,25,2023-05-10 14:58:20,32.61602502192565,10.768533657609623
72,2023-05-11 10:36:27,1,26,2023-05-10 14:37:02,28.10685002497503,12.418364443480463
73,2023-05-11 10:36:27,2,27,2023-05-10 13:11:24,27.872840157156237,10.85649666731786
74,2023-05-11 10:36:28,1,28,2023-05-10 13:55:19,31.427369856353597,14.520907859919058
75,2023-05-11 10:36:29,2,29,2023-05-10 13:05:43,25.531920425,13.372645053320488
